snapnum subfindid redshift total_quant_match mstar mgas msub mbh mbar sfr bhar x_pix y_pix total_quant photutils_label photutils_xcen photutils_ycen segment_flux sm_flag sm_flag_sersic sm_flag_catastrophic sm_gini sm_m20 sm_bulge sm_merger sm_sn_per_pixel sm_c sm_a sm_rhalf_e sm_rpetro_e sm_flux_e sm_xc_cen sm_yc_cen sm_sersic_n sm_sersic_rhalf sm_shape_asym sm_m sm_i sm_d sm_label
        27     144285      2.75487375 1555.67736816   8.6635e+09   2.3886e+09    3.182e+11   2.4778e+07   1.1077e+10   5.60600000   0.00310080 19776.083317 5006.113115 635.34112549      49468 19775.679656 5006.942666 544.20426420          0          0          0   0.470695  -1.672430  -0.471067  -0.093480   3.314061   2.450611   0.150492   4.245408   8.469818 520.234898  87.536992  66.201771   0.793907   3.522431   0.478946   0.000000   0.000000   0.040583      49468
        44     223947      1.29516518  43.13221359   5.3444e+07   9.6138e+07   8.2675e+08    1523100.0   1.5111e+08   0.04590000   0.00002317 19313.122759 4858.153392  23.15950012      49474 19319.231363 4880.702852  61.71813805          0          0          0   0.461588  -1.147905  -0.879643  -0.029587   0.926648   2.108649   0.264756   5.980886  10.963552  66.868431  31.159317  34.968024   0.451222   5.213882   0.880073   0.012658   0.000000   0.236978      49474
        29     220049      2.48099303 326.85552979   7.8041e+08   1.6629e+09   2.2836e+11    1841100.0   2.4451e+09   1.60230000   0.00017108 6037.878506 4877.234776 230.32963562      49477 6037.646188 4877.245601 165.03262427          0          0          0   0.497768  -1.535155  -0.432185  -0.047596   2.117127   2.541549   0.256979   4.138854   7.000951 155.191490  45.385417  43.164336   0.979748   2.983496   0.974046   0.000000   0.000000   0.134161      49477
        29     220051      2.48092294  33.69300842   1.1719e+08   5.3827e+08   4.5169e+09          0.0   6.5546e+08   0.13600000   0.00000000 6054.678519 4894.994817  27.02987480      49478 6051.653480 4895.447825  24.66693258          0          0          0   0.464154  -1.451491  -0.656555  -0.069245   0.816145   2.407407   0.383683   4.588851   7.266738  27.145645  24.277163  24.521738   0.306017   3.052954   1.144082   0.026087   0.000000   0.052964      49478
        32     361053      2.12074304 197.89518738    6.662e+08   1.8834e+09   1.0186e+11    1722900.0   2.5513e+09   0.80930000   0.00007511 17175.680978 4889.715451  80.92395020      49480 17177.997436 4890.299434  66.96029179          0          0          0   0.547882  -1.120773  -0.471288   0.059616   0.677940   1.934012   0.671062   7.702817  12.515273  71.545077  39.662466  53.780706   0.893607   4.106188   0.580613   0.260736   0.382595   0.243490      49480
        22      54803      3.66887355  50.82822800   1.8973e+08   6.5262e+08   1.9769e+09          0.0   8.4235e+08   1.02210000   0.00000000 18504.081941 4880.594271  57.84021759      49497 18503.033087 4878.696003  63.72132164          0          0          0   0.460927  -1.464462  -0.663539  -0.074242   1.262076   2.361544   0.295272   4.194595   7.534979  67.620660  27.476718  23.152106   0.581351   3.484833   0.889165   0.000000   0.000000   0.206774      49497
        22      54802      3.66890121 1338.97253418   4.1991e+09   5.7346e+09   4.4811e+11    4811100.0   9.9385e+09  28.89310000   0.00521870 18501.681939 4894.754294 1239.00244141      49498 18502.080033 4895.178359 1160.31446330          0          0          0   0.479209  -1.555339  -0.510066  -0.068775   5.959264   2.470818   0.160023   3.868978   7.353523 1118.700963  61.983202  49.149945   0.935836   3.345675   0.500472   0.000000   0.000000   0.042196      49498
        36     206695      1.81347299 4132.24462891    1.086e+10   3.4472e+09   7.3348e+11   5.0251e+07   1.4358e+10   2.55220000   0.00391270 21431.605918 4921.390839 1163.27172852      49500 21432.864717 4922.471984 1146.53315331          0          0          0   0.594224  -2.257092   0.545575  -0.052454   1.907947   3.912996   0.240197  13.286926  27.220408 1078.675610 178.718809 140.114812   2.005563   6.257425   0.700222   0.125000   0.123908   0.038164      49500
        38     119063      1.65686083 3060.95141602   9.6921e+09   2.9848e+09   1.1044e+11   4.7351e+07   1.2724e+10   3.25650000   0.00514890 21557.966159 4960.270738 1075.00683594      49501 21556.644867 4961.105544 1218.79035819          0          0          0   0.414047  -1.494918  -0.874492  -0.124887   5.387885   2.228135   0.176850   9.942609   6.153792 596.409493 162.475069 149.076838   5.594013   8.261381   0.928830   0.000000   0.000000   0.135329      49501
        38     119061      1.65681410 12214.65917969    2.651e+10   2.2049e+10    2.293e+12   8.7897e+07   4.8648e+10  30.17630000   0.00552240 21584.366210 5069.470920 6108.08349609      49502 21585.222304 5072.811262 6016.00377473          1          1          0   0.523862  -1.624334  -0.241219  -0.034159   3.217214   3.255392   0.563136  17.100339  26.506312 5448.431642 269.158828 256.307372   1.968392  17.100339   0.618051   0.124294   0.426816   0.191462      49502
