snapnum subfindid redshift total_quant_match mstar mgas msub mbh mbar sfr bhar x_pix y_pix total_quant photutils_label photutils_xcen photutils_ycen segment_flux sm_flag sm_flag_sersic sm_flag_catastrophic sm_gini sm_m20 sm_bulge sm_merger sm_sn_per_pixel sm_c sm_a sm_rhalf_e sm_rpetro_e sm_flux_e sm_xc_cen sm_yc_cen sm_sersic_n sm_sersic_rhalf sm_shape_asym sm_m sm_i sm_d sm_label
        27     144285      2.75487375 1555.67736816   8.6635e+09   2.3886e+09    3.182e+11   2.4778e+07   1.1077e+10   5.60600000   0.00310080 19776.083317 5006.113115 11519433728.00000000      49468 19775.679656 5006.942666 10356303286.20159149          0          0          0   0.500995  -1.695402  -0.305160  -0.066676 302.800716   2.697332   0.060440   4.938136   9.877160 10055702272.658737  87.701381  65.870842   0.812768   3.977766   0.217835   0.000000   0.000000   0.031151      49468
        44     223947      1.29516518  43.13221359   5.3444e+07   9.6138e+07   8.2675e+08    1523100.0   1.5111e+08   0.04590000   0.00002317 19313.122759 4858.153392 56778120.00000000      49474 19319.231363 4880.702852 117291752.08768550          1          1          0   0.509379  -1.672232  -0.279720  -0.055155  10.159955   2.709480   0.134124   8.140369  16.243469 166022540.399527  30.798362  36.064123   1.035383   8.140369   0.858622   0.000000   0.000000   0.078935      49474
        29     220049      2.48099303 326.85552979   7.8041e+08   1.6629e+09   2.2836e+11    1841100.0   2.4451e+09   1.60230000   0.00017108 6037.878506 4877.234776 1190514688.00000000      49477 6037.646188 4877.245601 853681856.44711852          1          0          0   0.511560  -1.670791  -0.269921  -0.052796 311.224489   2.712366   0.157600   4.914408   9.061301 900231576.511514  45.708829  43.390256   0.833954   3.576078   0.274531   0.000000   0.000000   0.093809      49477
        29     220051      2.48092294  33.69300842   1.1719e+08   5.3827e+08   4.5169e+09          0.0   6.5546e+08   0.13600000   0.00000000 6054.678519 4894.994817 123951096.00000000      49478 6051.653480 4895.447825 96476999.11301321          0          0          0   0.589788  -1.533476   0.022151   0.043737 713.926957   3.347741   0.698248  10.909559  28.222555 225587307.415839  24.804228  23.052175   1.426429  13.424864   0.041192   0.000000   0.000000   0.039200      49478
        32     361053      2.12074304 197.89518738    6.662e+08   1.8834e+09   1.0186e+11    1722900.0   2.5513e+09   0.80930000   0.00007511 17175.680978 4889.715451 886047168.00000000      49480 17177.997436 4890.299434 655255084.87769866          0          0          0   0.449264  -1.407436  -0.760793  -0.077863  26.546821   2.405556   0.570796   6.184541  10.330414 674426046.999502  39.014201  53.100956   1.012428   6.642940   1.267662   0.000000   0.000000   0.241643      49480
        22      54803      3.66887355  50.82822800   1.8973e+08   6.5262e+08   1.9769e+09          0.0   8.4235e+08   1.02210000   0.00000000 18504.081941 4880.594271 206127280.00000000      49497 18503.033087 4878.696003 259807449.51747954          1          0          0   0.464684  -1.299373  -0.759348  -0.047576  59.534109   2.247695   0.461687   5.278946   7.395915 284428108.001544  28.652141  24.897453   0.748959   5.402715   1.084780   0.000000   0.000000   0.218074      49497
        22      54802      3.66890121 1338.97253418   4.1991e+09   5.7346e+09   4.4811e+11    4811100.0   9.9385e+09  28.89310000   0.00521870 18501.681939 4894.754294 5758105088.00000000      49498 18502.080033 4895.178359 5112706617.18750095          1          0          0   0.527463  -1.666043  -0.194491  -0.036392 786.898667   2.754563   0.091572   4.125648   8.503416 5008205630.289925  62.192570  49.207667   0.740123   2.890301   0.440628   0.000000   0.000000   0.020985      49498
        36     206695      1.81347299 4132.24462891    1.086e+10   3.4472e+09   7.3348e+11   5.0251e+07   1.4358e+10   2.55220000   0.00391270 21431.605918 4921.390839 15814359040.00000000      49500 21432.864717 4922.471984 14077667836.92096138          1          0          0   0.588647  -1.927418   0.289503  -0.012151 2934.520820   3.341017   0.063543   7.177492  13.923228 12351282631.509027 176.188683 139.145592   0.976252   3.691643   0.245012   0.000000   0.000000   0.023207      49500
        38     119063      1.65686083 3060.95141602   9.6921e+09   2.9848e+09   1.1044e+11   4.7351e+07   1.2724e+10   3.25650000   0.00514890 21557.966159 4960.270738 12384470016.00000000      49501 21556.644867 4961.105544 12710317668.47286606          1          0          0   0.578825  -2.082169   0.348128  -0.043384 674.863877   3.799840   0.184386   7.199690  16.631480 12175516629.998064 162.958430 147.643816   1.627434   5.834764   0.300903   0.000000   0.000000   0.057852      49501
        38     119061      1.65681410 12214.65917969    2.651e+10   2.2049e+10    2.293e+12   8.7897e+07   4.8648e+10  30.17630000   0.00552240 21584.366210 5069.470920 36477566976.00000000      49502 21585.222304 5072.811262 35459526822.47840118          0          0          0   0.551482  -1.975169   0.138626  -0.055582 329.266653   3.487637   0.213755  14.039465  25.942699 32688042877.531593 268.644875 254.928252   1.359534  10.591694   0.543452   0.009346   0.005729   0.027708      49502
